Sort Order,Category,Sub Category,Product Name,Product Image,MRP,Sale Price,Purchase Price,CGST,SGST,IGST,Profit Lumpsump,Profit,Details,Subcription,Youtube Title,Youtube URL,Status,IsDaily
47,Grocery,,250GM GREEN CHILLY ,milkywaylogo.jpg,58,55.1,,6,6,,,5,,,,,TRUE,FALSE
48,Grocery,,250GM LEMON PICKEL ,milkywaylogo.jpg,60,57,,6,6,,,5,,,,,TRUE,FALSE
49,Grocery,,MANGO PICKLE 250GM,milkywaylogo.jpg,60,57,,6,6,,,5,,,,,TRUE,FALSE
50,Grocery,,MIXED PICKLE 250GM,milkywaylogo.jpg,60,55,,6,6,,,5,,,,,TRUE,FALSE
51,Grocery,,3 HORSES APPLE NON ALCOHOLIC BEVERAGE CAN 330ML,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
52,Grocery,,3 HORSES LEMON NON ALCOHOLIC BEVERAGE CAN 330ML,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
53,Grocery,,3 HORSES STRAWBERRY NON ALCOHOLIC BEVERAGE CAN 330ML,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
54,Grocery,,3 PINE ORANGE CHAMPHOR 80GM,milkywaylogo.jpg,360,150,,9,9,,,5,,,,,TRUE,FALSE
55,Grocery,,320 KAJU 250GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
56,Grocery,,MAMA EARTH ANTI POLLUTION FACE CREAM 80GM,milkywaylogo.jpg,349,320,,9,9,,,5,,,,,TRUE,FALSE
57,Grocery,,COLGATE 360 DEGREE TOOTH BRUSH,milkywaylogo.jpg,75,65,,9,9,,,5,,,,,TRUE,FALSE
58,Grocery,,COLGATE 360 FLOSSTIP TOOTH BRUSH,milkywaylogo.jpg,190,171,,9,9,,,5,,,,,TRUE,FALSE
59,Grocery,,COLGATE 360 GOLD TOOTHBRUSH B2G1,milkywaylogo.jpg,190,171,,9,9,,,5,,,,,TRUE,FALSE
60,Grocery,,COLAGTE 360 GOLD SINGLE TOOTHBRUSH,milkywaylogo.jpg,99,90,,9,9,,,5,,,,,TRUE,FALSE
61,Grocery,,COLGATE WHOLE MOUTH CLEAN B2G1,milkywaylogo.jpg,150,120.1,,9,9,,,5,,,,,TRUE,FALSE
62,Grocery,,COLGATE 360 VISIBLE WHITE B2G1,milkywaylogo.jpg,160,150,,9,9,,,5,,,,,TRUE,FALSE
63,Grocery,,PANASONIC GOLD PLUS(AA) BATTERY,milkywaylogo.jpg,11.5,10,,14,14,,,5,,,,,TRUE,FALSE
64,Grocery,,3 PINE ROSE BHIMSENI CAMPHOR 80GM,milkywaylogo.jpg,360,150,,9,9,,,5,,,,,TRUE,FALSE
65,Grocery,,420 ACHAR MASALA 500GM,milkywaylogo.jpg,160,110,,2.5,2.5,,,5,,,,,TRUE,FALSE
66,Grocery,,420 BESMI PURI AATA 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
67,Grocery,,420 DAHIWADA 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
68,Grocery,,420 DOSA MIX 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
69,Grocery,,420 GUJARATU MIX 400GM,milkywaylogo.jpg,95,80,,0,0,,,5,,,,,TRUE,FALSE
70,Grocery,,420 GULAB JAMUN 200GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
71,Grocery,,420 JEERAVAN 100GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
72,Grocery,,420 KHAMAN MIX 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
73,Grocery,,420 KHATAMITHA MIX 400GM,milkywaylogo.jpg,95,80,,0,0,,,5,,,,,TRUE,FALSE
74,Grocery,,420 LAUNG SEV 400GM,milkywaylogo.jpg,95,80,,0,0,,,5,,,,,TRUE,FALSE
75,Grocery,,420 MISSI ROTI 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
76,Grocery,,420 MOONG BHAJIA 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
77,Grocery,,420 MOONG BHAJIA 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
78,Grocery,,420 MOONG CHANA PAPAD 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
79,Grocery,,420 MOONG SADA PAPAD 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
80,Grocery,,420 MOONG SPECIAL PAPAD 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
81,Grocery,,420 PUNJABI MASALA 400GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
82,Grocery,,420 RATLAMI 400GM,milkywaylogo.jpg,95,80,,0,0,,,5,,,,,TRUE,FALSE
83,Grocery,,420 UJJAINI SEV 400GM,milkywaylogo.jpg,95,80,,0,0,,,5,,,,,TRUE,FALSE
84,Grocery,,4700BC FRENCH BUTTER PINK SALT 45GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
85,Grocery,,4700BC HAWAIIAN BARBEQUE CHEESE 44GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
86,Grocery,,4700BC HIMALAYAN SALT CARAMEL 125GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
87,Grocery,,4700BC HIMALAYAN SALT CARAMEL 60GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
88,Grocery,,4700BC INSTANT POPCORN BUTTER 30GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
89,Grocery,,4700BC ORANGE CHILLI CARAMEL POPCORN 125GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
90,Grocery,,4700BC ORANGE CHILLI CARAMEL POPCORN 60GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
91,Grocery,,4700BC POPCON BBQ 30GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
92,Grocery,,4700BC POPCON BBQ 60GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
93,Grocery,,4700BC POPCON BUTTER 90GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
94,Grocery,,4700BC POPCORN BBQ 92GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
95,Grocery,,4700BC POPCORN BUTTER 92GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
96,Grocery,,4700BC POPCORN CHEESE 60GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
97,Grocery,,4700BC POPCORN CHEESE 92GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
98,Grocery,,4700BC POPCORN NATURAL 30GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
99,Grocery,,4700BC POPCORN NATURAL 90GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
100,Grocery,,4700BC POPCORN NATURAL 92GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
101,Grocery,,4700BC POPCORN SEVEN SPICES 30GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
102,Grocery,,4700BC SRIACHA LIME CHEESE POPCORN 35GM,milkywaylogo.jpg,39,34,,6,6,,,5,,,,,TRUE,FALSE
103,Grocery,,484 BASMATI RICE 500GM,milkywaylogo.jpg,90,80,,0,0,,,5,,,,,TRUE,FALSE
104,Grocery,,PANASONIC AAA,milkywaylogo.jpg,35,30,,9,9,,,5,,,,,TRUE,FALSE
105,Grocery,,PANASONIC AAA,milkywaylogo.jpg,15,10,,14,14,,,5,,,,,TRUE,FALSE
106,Grocery,,MAGGIE 5 MIN CHEESY TOMATO 65GM,milkywaylogo.jpg,25,23.75,,6,6,,,5,,,,,TRUE,FALSE
107,Grocery,,MAGGIE 5 MIN CREAMY CHEESE 65GM,milkywaylogo.jpg,25,23.75,,6,6,,,5,,,,,TRUE,FALSE
108,Grocery,,MAGGIE 5 MIN MAST MASALA 65GM,milkywaylogo.jpg,25,23.75,,6,6,,,5,,,,,TRUE,FALSE
109,Grocery,,5 STAR,milkywaylogo.jpg,10,9.52,,9,9,,,5,,,,,TRUE,FALSE
110,Grocery,,5 STAR 10 GM,milkywaylogo.jpg,0,6.72,,9,9,,,5,,,,,TRUE,FALSE
111,Grocery,,5 STAR GOLD PREMIUM DATES,milkywaylogo.jpg,90,85,,0,0,,,5,,,,,TRUE,FALSE
112,Grocery,,BRITANNIA 50-50 38GM,milkywaylogo.jpg,5,4.6,,9,9,,,5,,,,,TRUE,FALSE
113,Grocery,,BRITANNIA 50-50 80GM,milkywaylogo.jpg,10,10,,9,9,,,5,,,,,TRUE,FALSE
114,Grocery,,BRITANNIA 50-50 JEERA 76.+ 9GN,milkywaylogo.jpg,10,10,,9,9,,,5,,,,,TRUE,FALSE
115,Grocery,,BRITANNIA 50-50 JEERA 76GM,milkywaylogo.jpg,10,10,,9,9,,,5,,,,,TRUE,FALSE
116,Grocery,,BRITANNIA 50-50 JEERA 80+20GM,milkywaylogo.jpg,10,9.51,,9,9,,,5,,,,,TRUE,FALSE
117,Grocery,,BRITANNIA 50-50 JEERA 80+20GM,milkywaylogo.jpg,10,9.5,,9,9,,,5,,,,,TRUE,FALSE
118,Grocery,,BRITANNIA 50-50 MASKA 120GM,milkywaylogo.jpg,30,28.5,,9,9,,,5,,,,,TRUE,FALSE
119,Grocery,,BRITANNIA 50-50 MASKA CHASKA 55G,milkywaylogo.jpg,10,9.51,,9,9,,,5,,,,,TRUE,FALSE
120,Grocery,,BRITANNIA 50-50 JEERA 78+19GM,milkywaylogo.jpg,10,10,,9,9,,,5,,,,,TRUE,FALSE
121,Grocery,,NILGIRE OIL 50ML,milkywaylogo.jpg,0,50,,6,6,,,5,,,,,TRUE,FALSE
122,Grocery,,5 STAR 3D 45G,milkywaylogo.jpg,30,28.51,,9,9,,,5,,,,,TRUE,FALSE
123,Grocery,,5 STAR 43GM,milkywaylogo.jpg,20,19.51,,9,9,,,5,,,,,TRUE,FALSE
124,Grocery,,LOREAL 6 OIL SHMAP 7ML,milkywaylogo.jpg,3,3,,9,9,,,5,,,,,TRUE,FALSE
125,Grocery,,7 OCLOCK 10 BLADES,milkywaylogo.jpg,24,22.8,,9,9,,,5,,,,,TRUE,FALSE
126,Grocery,,EMAMI 7 OILS IN 1 200ML,milkywaylogo.jpg,130,120,,9,9,,,5,,,,,TRUE,FALSE
127,Grocery,,7 SEED MUKHWAS 100GM,milkywaylogo.jpg,70,55,,0,0,,,5,,,,,TRUE,FALSE
128,Grocery,,7 SOFT ULTRA COTTONY 40 XXL,milkywaylogo.jpg,399,379.05,,0,0,,,5,,,,,TRUE,FALSE
129,Grocery,,7 SOFT MAXI CARE 40 XXL O,milkywaylogo.jpg,399,199.5,,0,0,,,5,,,,,TRUE,FALSE
130,Grocery,,7 UP,milkywaylogo.jpg,55,57,,14,14,,,5,,,,,TRUE,FALSE
131,Grocery,,7 UP 150ML,milkywaylogo.jpg,20,19,,14,14,,,5,,,,,TRUE,FALSE
132,Grocery,,7 UP 2.25 L,milkywaylogo.jpg,90,80,,14,14,,,5,,,,,TRUE,FALSE
133,Grocery,,7 UP 250 ML,milkywaylogo.jpg,20,19,,14,14,,,5,,,,,TRUE,FALSE
134,Grocery,,7 UP 750ML,milkywaylogo.jpg,40,38,,14,14,,,5,,,,,TRUE,FALSE
135,Grocery,,7 Up Nimbooz,milkywaylogo.jpg,25,25,,0,0,,,5,,,,,TRUE,FALSE
136,Grocery,,7 Up Nimbooz,milkywaylogo.jpg,20,19,,0,0,,,5,,,,,TRUE,FALSE
137,Grocery,,79 MM*50MTR TH ROLL,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
138,Grocery,,7O CLOCK SP,milkywaylogo.jpg,65,61.75,,9,9,,,5,,,,,TRUE,FALSE
139,Grocery,,7OCLK SP RZR ,milkywaylogo.jpg,75,56,,9,9,,,5,,,,,TRUE,FALSE
140,Grocery,,7OCLK ST RZR,milkywaylogo.jpg,80,60,,9,9,,,5,,,,,TRUE,FALSE
141,Grocery,,A -1 ALL IN ONE MASALA 150GM,milkywaylogo.jpg,60,50,,2.5,2.5,,,5,,,,,TRUE,FALSE
142,Grocery,,A M Amla No 1 Soap,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
143,Grocery,,A M TALTEL 15 KG,milkywaylogo.jpg,0,4300,,2.5,2.5,,,5,,,,,TRUE,FALSE
144,Grocery,,A N GOBA PURI ATTA 500 GM,milkywaylogo.jpg,60,55,,9,9,,,5,,,,,TRUE,FALSE
145,Grocery,,A N GOTA 500GM,milkywaylogo.jpg,95,85.5,,9,9,,,5,,,,,TRUE,FALSE
146,Grocery,,A N IDADA 1 KG,milkywaylogo.jpg,99,94.05,,9,9,,,5,,,,,TRUE,FALSE
147,Grocery,,A N IDADA 500GM,milkywaylogo.jpg,65,60,,9,9,,,5,,,,,TRUE,FALSE
148,Grocery,,A N KHATAWADA 400 GM,milkywaylogo.jpg,0,45,,9,9,,,5,,,,,TRUE,FALSE
149,Grocery,,A N LOCHO 200 GM,milkywaylogo.jpg,0,40,,9,9,,,5,,,,,TRUE,FALSE
