Sort Order,Category,Sub Category,Product Name,Product Image,MRP,Sale Price,Purchase Price,CGST,SGST,IGST,Profit Lumpsump,Profit,Details,Subcription,Youtube Title,Youtube URL,Status,IsDaily
2700,Grocery,,CAKE RUSK 400GM,milkywaylogo.jpg,150,150,,9,9,,,5,,,,,TRUE,FALSE
2701,Grocery,,CAKE VEG CHOCOLATEB 64GM,milkywaylogo.jpg,20,20,,9,9,,,5,,,,,TRUE,FALSE
2702,Grocery,,CAMAY CHIC 80GM,milkywaylogo.jpg,75,71.25,,9,9,,,5,,,,,TRUE,FALSE
2703,Grocery,,CAMAY CLASSSIC 80GM,milkywaylogo.jpg,75,72,,9,9,,,5,,,,,TRUE,FALSE
2704,Grocery,,Camay International Soap Chic,milkywaylogo.jpg,75,70,,,,,,5,,,,,TRUE,FALSE
2705,Grocery,,Camay International Soap Chic,milkywaylogo.jpg,40,38,,,,,,5,,,,,TRUE,FALSE
2706,Grocery,,Camay International Soap Classic,milkywaylogo.jpg,40,38,,,,,,5,,,,,TRUE,FALSE
2707,Grocery,,CAMAY NATURAL 80GM,milkywaylogo.jpg,75,72,,9,9,,,5,,,,,TRUE,FALSE
2708,Grocery,,Camay Paris Creme & Strawbwrry Shower Gel,milkywaylogo.jpg,249,210,,,,,,5,,,,,TRUE,FALSE
2709,Grocery,,Camay Paris Dynamique Shower Gel,milkywaylogo.jpg,249,210,,,,,,5,,,,,TRUE,FALSE
2710,Grocery,,Camay Paris Hypnotique Shower Gel,milkywaylogo.jpg,249,210,,,,,,5,,,,,TRUE,FALSE
2711,Grocery,,Camay Paris Lavander Shower Gel,milkywaylogo.jpg,0,0,, , ,,,5,,,,,TRUE,FALSE
2712,Grocery,,Camay Paris Lavander Shower Gel,milkywaylogo.jpg,249,210,,,,,,5,,,,,TRUE,FALSE
2713,Grocery,,Camay Paris Romantique Shower Gel,milkywaylogo.jpg,249,210,,,,,,5,,,,,TRUE,FALSE
2714,Grocery,,CAMAY SOAP RED WHITE 125GM,milkywaylogo.jpg,40,38,,9,9,,,5,,,,,TRUE,FALSE
2715,Grocery,,CAMERA DS,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2716,Grocery,,CAMERA FITTING LABOUR,milkywaylogo.jpg,0,0,,9,9,,,5,,,,,TRUE,FALSE
2717,Grocery,,CANAPES 200GM,milkywaylogo.jpg,45,38,,2.5,2.5,,,5,,,,,TRUE,FALSE
2718,Grocery,,CANBERRY 100GM,milkywaylogo.jpg,0,70,,6,6,,,5,,,,,TRUE,FALSE
2719,Grocery,,CAND CHOCO DOUBLE 475GM,milkywaylogo.jpg,0,105,,9,9,,,5,,,,,TRUE,FALSE
2720,Grocery,,CANDAN 20GM,milkywaylogo.jpg,0,10,,2.5,2.5,,,5,,,,,TRUE,FALSE
2721,Grocery,,CANDID ACTIV POWDER 100GM,milkywaylogo.jpg,140,130,,9,9,,,5,,,,,TRUE,FALSE
2722,Grocery,,CANDID RENEW POWDER 100GM,milkywaylogo.jpg,85,80,,9,9,,,5,,,,,TRUE,FALSE
2723,Grocery,,CANDID RENEW POWDER 250GM,milkywaylogo.jpg,175,165,,9,9,,,5,,,,,TRUE,FALSE
2724,Grocery,,Candle 10,milkywaylogo.jpg,10,10,,,,,,5,,,,,TRUE,FALSE
2725,Grocery,,Candle 10,milkywaylogo.jpg,20,20,,,,,,5,,,,,TRUE,FALSE
2726,Grocery,,CANDY 200 GM,milkywaylogo.jpg,0,30,,6,6,,,5,,,,,TRUE,FALSE
2727,Grocery,,CANDYMAN 12GM,milkywaylogo.jpg,5,5,,9,9,,,5,,,,,TRUE,FALSE
2728,Grocery,,CANDYMAN TADKA TIME 10GM,milkywaylogo.jpg,5,4.6,,6,6,,,5,,,,,TRUE,FALSE
2729,Grocery,,CANEEN BABY CORN 450GM,milkywaylogo.jpg,90,60,,0,0,,,5,,,,,TRUE,FALSE
2730,Grocery,,CANEEN BAKBEANS 450GM,milkywaylogo.jpg,90,50,,6,6,,,5,,,,,TRUE,FALSE
2731,Grocery,,CANEEN CHIK PEAS 425G,milkywaylogo.jpg,127,120.65,,0,0,,,5,,,,,TRUE,FALSE
2732,Grocery,,CANEEN COCONUT CREAM 400ML,milkywaylogo.jpg,149,141.55,,6,6,,,5,,,,,TRUE,FALSE
2733,Grocery,,CANEEN FRUIT COCKTAIL 850GM,milkywaylogo.jpg,135,100,,2.5,2.5,,,5,,,,,TRUE,FALSE
2734,Grocery,,CANEEN MUSHROOM UTTON 850GM,milkywaylogo.jpg,177,120,,0,0,,,5,,,,,TRUE,FALSE
2735,Grocery,,CANEEN OLIV BLACK PITTED 450GM,milkywaylogo.jpg,173,150,,6,6,,,5,,,,,TRUE,FALSE
2736,Grocery,,CANEEN OLIV BLACK PITTED 450GM,milkywaylogo.jpg,179,150,,6,6,,,5,,,,,TRUE,FALSE
2737,Grocery,,CANEEN OLIV BLACK SLICE 230GM,milkywaylogo.jpg,131,120,,6,6,,,5,,,,,TRUE,FALSE
2738,Grocery,,CANEEN OLIV BLACK SLICE 450GM,milkywaylogo.jpg,173,150,,6,6,,,5,,,,,TRUE,FALSE
2739,Grocery,,CANEEN OLIV GREEN PITTED 450GM,milkywaylogo.jpg,173,164.35,,6,6,,,5,,,,,TRUE,FALSE
2740,Grocery,,CANEEN OLIV GREEN SLICE 230GM,milkywaylogo.jpg,120,114,,6,6,,,5,,,,,TRUE,FALSE
2741,Grocery,,CANEEN OLIV GREEN SLICE 450GM,milkywaylogo.jpg,173,164.35,,6,6,,,5,,,,,TRUE,FALSE
2742,Grocery,,CANEEN OLIVE BLACK SLICE 230GM,milkywaylogo.jpg,121,99,,6,6,,,5,,,,,TRUE,FALSE
2743,Grocery,,CANEEN OLIVES GREEN PITTED 450GM,milkywaylogo.jpg,179,150,,6,6,,,5,,,,,TRUE,FALSE
2744,Grocery,,CANEEN PASTA SPAGHETTI 500GM,milkywaylogo.jpg,197,80,,6,6,,,5,,,,,TRUE,FALSE
2745,Grocery,,CANEEN PINEAPPLE SLICE 840GM,milkywaylogo.jpg,135,110,,2.5,2.5,,,5,,,,,TRUE,FALSE
2746,Grocery,,CANEEN RED CHERRY 850GM,milkywaylogo.jpg,279,250,,2.5,2.5,,,5,,,,,TRUE,FALSE
2747,Grocery,,CANEEN RED KIDNEY BEANS 425G,milkywaylogo.jpg,127,120.65,,0,0,,,5,,,,,TRUE,FALSE
2748,Grocery,,CANEEN SLICED BLACK OLIVES 450GM,milkywaylogo.jpg,0,160,,6,6,,,5,,,,,TRUE,FALSE
2749,Grocery,,CANEEN SLICED BLACKOLIVES,milkywaylogo.jpg,179,170.05,,6,6,,,5,,,,,TRUE,FALSE
2750,Grocery,,Caneen Spaghetti Pasta,milkywaylogo.jpg,197,98,,6,6,,,5,,,,,TRUE,FALSE
2751,Grocery,,CANEEN TOMATO PUREE 825GM,milkywaylogo.jpg,90,70,,6,6,,,5,,,,,TRUE,FALSE
2752,Grocery,,CANNALLONI SANVITO 250GM,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2753,Grocery,,CANON G2010 PRINTEAR,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2754,Grocery,,CANZ COCONUT MILK 450GM,milkywaylogo.jpg,137,130.15,,6,6,,,5,,,,,TRUE,FALSE
2755,Grocery,,CAPILANO HONEY 220GM,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2756,Grocery,,CAPILANO HONEY 400GM,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2757,Grocery,,CAPITAL GOLD TEA 1KG,milkywaylogo.jpg,0,272,,2.5,2.5,,,5,,,,,TRUE,FALSE
2758,Grocery,,CAPITAL GOLD TEA 500GM,milkywaylogo.jpg,0,136,,2.5,2.5,,,5,,,,,TRUE,FALSE
2759,Grocery,,CAPITAL TEA 250GM,milkywaylogo.jpg,0,68,,2.5,2.5,,,5,,,,,TRUE,FALSE
2760,Grocery,,CAPTAIN,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2761,Grocery,,Captain Garbage Bags 19 X 21,milkywaylogo.jpg,80,70,,,,,,5,,,,,TRUE,FALSE
2762,Grocery,,CAPTAIN MARSHMALLOW 150GM,milkywaylogo.jpg,0,0,,,,,,5,,,,,TRUE,FALSE
2763,Grocery,,CARE FREE PANTY LINER,milkywaylogo.jpg,99,96,,0,0,,,5,,,,,TRUE,FALSE
2764,Grocery,,CAREFEE PANTY LINER 20,milkywaylogo.jpg,88,81,,0,0,,,5,,,,,TRUE,FALSE
2765,Grocery,,CAS HEALTHY TIGHT GUMS NEEM 100GM,milkywaylogo.jpg,61,57.95,,9,9,,,5,,,,,TRUE,FALSE
2766,Grocery,,CAS HEALTHY TIGHT GUMS NEEM 200GM,milkywaylogo.jpg,100,95,,9,9,,,5,,,,,TRUE,FALSE
2767,Grocery,,CAS HEALTHY WHITE 100G,milkywaylogo.jpg,58,55.1,,9,9,,,5,,,,,TRUE,FALSE
2768,Grocery,,CAS HEALTHY WHITE 200G,milkywaylogo.jpg,100,95,,9,9,,,5,,,,,TRUE,FALSE
2769,Grocery,,CASBURY SILK MIGNONET[20CR],milkywaylogo.jpg,430,353,,9,9,,,5,,,,,TRUE,FALSE
2770,Grocery,,CASHAW COOKIES 66G,milkywaylogo.jpg,10,9.5,,9,9,,,5,,,,,TRUE,FALSE
2771,Grocery,,CASHEW COOKIES 66GM,milkywaylogo.jpg,10,9.5,,9,9,,,5,,,,,TRUE,FALSE
2772,Grocery,,Cashew Tukada,milkywaylogo.jpg,61,61,,,,,,5,,,,,TRUE,FALSE
2773,Grocery,,Cashew Tukada,milkywaylogo.jpg,153,153,,,,,,5,,,,,TRUE,FALSE
2774,Grocery,,CASTING 200,milkywaylogo.jpg,550,500,,9,9,,,5,,,,,TRUE,FALSE
2775,Grocery,,CASTING 200,milkywaylogo.jpg,199,189.05,,9,9,,,5,,,,,TRUE,FALSE
2776,Grocery,,CASTING 300,milkywaylogo.jpg,550,500,,9,9,,,5,,,,,TRUE,FALSE
